Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Gawer A.","6506170616;","Bridging differing perspectives on technological platforms: Toward an integrative framework",2014,"Research Policy","43","7",,"1239","1249",,270,"10.1016/j.respol.2014.03.006",2-s2.0-84902550958
"Gawer A., Cusumano M.A.","","Platform leadership: How intel, microsoft and cisco drive industry innovation",2002,"Platform Leadership: How Intel, Microsoft, and Cisco Drive Industry Innovation",,,,"","",,633,,2-s2.0-0013207517
"Ghazawneh A., Henfridsson O.","36006505700;7801578626;","Balancing platform control and external contribution in third-party development: The boundary resources model",2013,"Information Systems Journal","23","2",,"173","192",,193,"10.1111/j.1365-2575.2012.00406.x",2-s2.0-84872911674
"Gonalves V., Ballon P.","35409368200;23395849900;","Adding value to the network: Mobile operators' experiments with Software-as-a-Service and Platform-as-a-Service models",2011,"Telematics and Informatics","28","1",,"12","21",,48,"10.1016/j.tele.2010.05.005",2-s2.0-80052277144
"McCandless D., Doughty-White P., Quick M.","",[No title available],2014,"Codebases: Millions of Lines of Code [Www Document]",,,,"","",,1,,2-s2.0-84939801379
"Selander L., Henfridsson O., Svahn F.","52264516500;7801578626;55822201000;","Capability search and redeem across digital ecosystems",2013,"Journal of Information Technology","28","3",,"183","197",,63,"10.1057/jit.2013.14",2-s2.0-84881594144
"Sørensen C., Landau J.","7102879062;56319152700;","We've got 99 problems, but a phone ain't one mobile ICT and academic agility in information systems research",2014,"ECIS 2014 Proceedings - 22nd European Conference on Information Systems",,,,"","",,2,,2-s2.0-84905843065
"Thomas L.D.W., Autio E., Gann D.M.","56229681800;57203627370;7101878435;","Architectural leverage: Putting platforms in context",2014,"Academy of Management Perspectives","28","2",,"198","219",,144,"10.5465/amp.2011.0105",2-s2.0-84903314810
"Tilson D., Lyytinen K., Sørensen C.","55442889700;7004068826;7102879062;","Desperately seeking the Infrastructure in IS research: Conceptualization of ""Digital convergence"" as co-evolution of social and technical infrastructures",2010,"Proceedings of the Annual Hawaii International Conference on System Sciences",,, 5428452,"","",,23,"10.1109/HICSS.2010.141",2-s2.0-77951760748
"Tilson D., Lyytinen K., Sørensen C.","55442889700;7004068826;7102879062;","Digital infrastructures: The missing IS research agenda",2010,"Information Systems Research","21","4",,"748","759",,419,"10.1287/isre.1100.0318",2-s2.0-78650657326
"Tilson D., Sørensen C., Lyytinen K.","55442889700;7102879062;7004068826;","The paradoxes of change and control in digital infrastructures: The mobile operating systems case",2011,"Proceedings - 2011 10th International Conference on Mobile Business, ICMB 2011",,, 6047023,"26","35",,5,"10.1109/ICMB.2011.45",2-s2.0-80455174159
"Tilson D., Sørensen C., Lyytinen K.","55442889700;7102879062;7004068826;","Change and control paradoxes in mobile infrastructure innovation: The Android and iOS mobile operating systems cases",2012,"Proceedings of the Annual Hawaii International Conference on System Sciences",,, 6148683,"1324","1333",,37,"10.1109/HICSS.2012.149",2-s2.0-84857927486
"Tiwana A., Konsynski B., Bush A.A.","6701805181;7003815617;7201882734;","Platform evolution: Coevolution of platform architecture, governance, and environmental dynamics",2010,"Information Systems Research","21","4",,"675","687",,428,"10.1287/isre.1100.0323",2-s2.0-78650659690
"Utterback J.M., Suárez F.F.","6601961653;7005171213;","Innovation, competition, and industry structure",1993,"Research Policy","22","1",,"1","21",,417,"10.1016/0048-7333(93)90030-L",2-s2.0-33744492239
"Wareham J., Fox P.B., Giner J.L.C.","6701663400;17345813500;35867804700;","Technology ecosystem governance",2014,"Organization Science","25","4",,"1195","1215",,140,"10.1287/orsc.2014.0895",2-s2.0-84904902356
"Yoo Y.","7201926488;","The tables have turned: How can the information systems field contribute to technology and innovation management research?",2013,"Journal of the Association of Information Systems","14","5",,"227","236",,107,,2-s2.0-84876936146
"Ziegler C.","",[No title available],2011,"Nokia CEO Stephen Elop Rallies Troops in Brutally Honest Burning Platform Memo?",,,,"","",,5,,2-s2.0-84939811725
