Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Gioia D.A., Corley K.G., Hamilton A.L.","7003946419;7004228468;36180933700;","Seeking Qualitative Rigor in Inductive Research: Notes on the Gioia Methodology",2013,"Organizational Research Methods","16","1",,"15","31",,1332,"10.1177/1094428112452151",2-s2.0-84873639987
"Gruber M., MacMillan I.C., Thompson J.D.","15033458300;36933749400;55574196936;","Look before you leap: Market opportunity identification in emerging technology firms",2008,"Management Science","54","9",,"1652","1665",,167,"10.1287/mnsc.1080.0877",2-s2.0-59649086256
"Gruber M., MacMillan I.C., Thompson J.D.","15033458300;36933749400;55643998340;","Escaping the prior knowledge corridor: What shapes the number and variety of market opportunities identified before market entry of technology start-ups?",2013,"Organization Science","24","1",,"280","300",,73,"10.1287/orsc.1110.0721",2-s2.0-84873289435
"Hannah D.","57209729682;","Origins and outcomes of strategy in nascent ecosystems",2015,"75th Annual Meeting of the Academy of Management, AOM 2015",,,,"527","532",,2,"10.5465/AMBPP.2015.98",2-s2.0-85026421601
"Iansiti M., Levien R.","",[No title available],2004,"The Keystone Advantage: What the New Dynamics of Business Ecosystems Mean for Strategy, Innovation, and Sustainability",,,,"","",,596,,2-s2.0-27444432184
"Ingraham N.","",[No title available],2013,"ITunes Store at 10: How Apple Built A Digital Media Juggernaut",,,,"","",,2,,2-s2.0-85011257731
"Jacobides M.G., Knudsen T., Augier M.","8404310500;35579799700;6603246680;","Benefiting from innovation: Value creation, value appropriation and the role of industry architectures",2006,"Research Policy","35","8 SPEC. ISS.",,"1200","1221",,308,"10.1016/j.respol.2006.09.005",2-s2.0-33751191858
"Jacobides M.G., MacDuffie J.P., Tae C.J.","8404310500;6506458168;56669607700;","Agency, structure, and the dominance of OEMs: Change and stability in the automotive sector",2016,"Strategic Management Journal","37","9",,"1942","1967",,23,"10.1002/smj.2426",2-s2.0-84946239686
"Jacobides M.G., Tae C.J.","8404310500;56669607700;","Kingpins, bottlenecks, and value dynamics along a sector",2015,"Organization Science","26","3",,"889","907",,12,"10.1287/orsc.2014.0958",2-s2.0-84930462828
"Jain S.","57203106892;","Pragmatic agency in technology standards setting: The case of Ethernet",2012,"Research Policy","41","9",,"1643","1654",,14,"10.1016/j.respol.2012.03.025",2-s2.0-84866315102
"Jick T.D.","","Mixing qualitative and quantitative methods: Triangulation in action",1979,"Administrative Science Quarterly","24","4",,"602","611",,2622,,2-s2.0-77954238840
"Kaplan S., Orlikowski W.J.","15220752400;6701858440;","Temporal work in strategy making",2013,"Organization Science","24","4",,"965","995",,138,"10.1287/orsc.1120.0792",2-s2.0-84880980206
"Kapoor R., Furr N.R.","23027335500;36659305300;","Complementarities and competition: Unpacking the drivers of entrants' technology choices in the solar photovoltaic industry",2015,"Strategic Management Journal","36","3",,"416","436",,58,"10.1002/smj.2223",2-s2.0-84921838948
"Kapoor R., Lee J.M.","23027335500;55286647100;","Coordinating and competing in ecosystems: How organizational forms shape new technology investments",2013,"Strategic Management Journal","34","3",,"274","296",,99,"10.1002/smj.2010",2-s2.0-84872807999
"Kim W.C., Mauborgne R.","",[No title available],2005,"Blue Ocean Strategy",,,,"","",,1206,,2-s2.0-19744369801
"Knudsen T., Levinthal D.A.","35579799700;7003966546;","Two faces of search: Alternative generation and alternative evaluation",2007,"Organization Science","18","1",,"39","54",,114,"10.1287/orsc.1060.0216",2-s2.0-33847063436
"Langley A.","7006761979;","Strategies for theorizing from process data",1999,"Academy of Management Review","24","4",,"691","710",,2408,"10.5465/AMR.1999.2553248",2-s2.0-0033246750
"Le Masson P., Weil B., Hatchuel A.","15824313700;24403071400;6603268899;","Platforms for the design of platforms: Collaborating in the unknown",2009,"Platforms, Markets and Innovation",,,,"273","305",,10,,2-s2.0-84881893921
"Leonard-Barton D.","","A dual methodology for case studies: Synergistic use of a longitudinal single site with replicated multiple sites",1990,"Organization Science","1","3",,"248","266",,620,,2-s2.0-84936824160
"Lieberman M.B., Montgomery D.B.","7202657901;7402897652;","First-mover (dis)advantages: Retrospective and link with the resource-based view",1998,"Strategic Management Journal","19","12",,"1111","1125",,635,"10.1002/(SICI)1097-0266(1998120)19:12<1111::AID-SMJ21>3.0.CO;2-W",2-s2.0-0000287182
"Locke K., Golden-Biddle K., Feldman M.S.","7006753751;6602352248;7402261493;","Making doubt generative: Rethinking the role of doubt in the research process",2008,"Organization Science","19","6",,"907","918",,204,"10.1287/orsc.1080.0398",2-s2.0-61349130076
"Lord R.G., Dinh J.E., Hoffman E.L.","7201583471;36607704500;55649452700;","A quantum approach to time and organizational change",2015,"Academy of Management Review","40","2",,"263","290",,33,"10.5465/amr.2013.0273",2-s2.0-84929173119
"Lusch R.F., Nambisan S.","6602566503;55946896600;","Service innovation: A service-dominant logic perspective",2015,"MIS Quarterly: Management Information Systems","39","1",,"155","175",,420,"10.25300/MISQ/2015/39.1.07",2-s2.0-84942085478
"MacCormack A., Rusnak J., Baldwin C.Y.","6602265994;14029099600;7201893924;","Exploring the structure of complex software designs: An empirical study of open source and proprietary code",2006,"Management Science","52","7",,"1015","1030",,322,"10.1287/mnsc.1060.0552",2-s2.0-33745595061
"Mantere S., Ketokivi M.","16402562900;6506337576;","Reasoning in organization science",2013,"Academy of Management Review","38","1",,"70","89",,106,"10.5465/amr.2011.0188",2-s2.0-84878013014
"McGrath R.G.","",[No title available],2013,"The End of Competitive Advantage",,,,"","",,141,,2-s2.0-84901452360
"McGrath R.G., MacMillan I.C.","","The Entrepreneurial Mindset",2000,"The Entrepreneurial Mindset",,,,"","",,367,,2-s2.0-0009919493
"McGrath R.G., MacMillan I.C.","",[No title available],2009,"Discovery-Driven Growth: A Breakthrough Process to Reduce Risk and Seize Opportunity",,,,"","",,48,,2-s2.0-70450203933
"McIntyre D.P., Subramaniam M.","35220026800;7005044120;","Strategy in network industries: A review and research agenda",2009,"Journal of Management","35","6",,"1494","1517",,58,"10.1177/0149206309346734",2-s2.0-71949100911
"Möller K.","7202900756;","Sense-making and agenda construction in emerging business networks - How to direct radical innovation",2010,"Industrial Marketing Management","39","3",,"361","371",,89,"10.1016/j.indmarman.2009.03.014",2-s2.0-77951259225
"Moore J.F.","",[No title available],1996,"The Death of Competition: Leadership and Strategy in the Age of Business Ecosystems",,,,"","",,755,,2-s2.0-0003756490
"Morecroft J.","",[No title available],2007,"Strategic Modelling and Business Dynamics: A Feedback Systems Approach",,,,"","",,244,,2-s2.0-36348957706
"Nambisan S., Baron R.A.","55946896600;7202712750;","Entrepreneurship in innovation ecosystems: Entrepreneurs' self-regulatory processes and their implications for new venture success",2013,"Entrepreneurship: Theory and Practice","37","5",,"1071","1097",,124,"10.1111/j.1540-6520.2012.00519.x",2-s2.0-84883806777
"Nambisan S., Sawhney M.","55946896600;7004343191;","Orchestration processes in network-centric innovation: Evidence from the field",2011,"Academy of Management Perspectives","25","3",,"40","57",,120,"10.5465/AMP.2011.63886529",2-s2.0-80054854205
"Narayanan V.K., Chen T.","7101654414;56670512800;","Research on technology standards: Accomplishment and challenges",2012,"Research Policy","41","8",,"1375","1406",,46,"10.1016/j.respol.2012.02.006",2-s2.0-84865257737
"Nonaka I., Takeuchi H.","7201755087;37562231300;","The wise leader.",2011,"Harvard business review","89","5",,"58","67, 146",,84,,2-s2.0-79958738200
"Osterwalder A., Pigneur Y.","",[No title available],2010,"Business Model Generation",,,,"","",,2753,,2-s2.0-70450142818
"Ozcan P., Eisenhardt K.","26533054200;6701924601;","Origin of alliance portfolios: Entrepreneurs, network strategies, and firm performance",2009,"Academy of Management Journal","52","2",,"246","279",,334,"10.5465/AMJ.2009.37308021",2-s2.0-65349191780
"Ozcan P., Santos F.M.","26533054200;36947013200;","The market that never was: Turf wars and failed alliances in mobile payments",2015,"Strategic Management Journal","36","10",,"1486","1512",,54,"10.1002/smj.2292",2-s2.0-84941043025
"Pagani M.","23100854400;","Digital business strategy and value creation: Framing the dynamic cycle of control points",2013,"MIS Quarterly: Management Information Systems","37","2",,"617","632",,96,"10.25300/MISQ/2013/37.2.13",2-s2.0-84876842420
"Peirce C.S.","","Deduction, induction, and hypothesis",1878,"Popular Science Monthly","13",,,"470","482",,121,,2-s2.0-0000856854
