Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Fraser A.","16834498200;","Coded spatialities of fieldwork",2007,"Area","39","2",,"242","245",,12,"10.1111/j.1475-4762.2007.00734.x",2-s2.0-34447274521
"Friedman T.L.","",[No title available],2005,"The World Is Flat: A Brief History of the Twenty-first Century",,,,"","",,5144,,2-s2.0-22144475541
"Galloway A.","35987186200;","Intimations of everyday life: Ubiquitous computing and the city",2004,"Cultural Studies","18","2-3",,"384","408",,122,"10.1080/0950238042000201572",2-s2.0-5144225205
"Gordon C.","",[No title available],1980,"Power/Knowledge: Selected Interviews and Other Writings",,,,"","",,429,,2-s2.0-0039218947
"Gordon E., de Souza e Silva A.","15055774900;14719110400;","Net Locality: Why Location Matters in a Networked World",2011,"Net Locality: Why Location Matters in a Networked World",,,,"","",187,248,"10.1002/9781444340679",2-s2.0-84891583965
"Graham M.","",[No title available],2009,"Wikipedia’s known unknowns. The Guardian, 2 December",,,,"","",,1,,2-s2.0-85040839096
"Graham M.","55536168100;","Time machines and virtual portals: The spatialities of the digital divide",2011,"Progress in Development Studies","11","3",,"211","227",,105,"10.1177/146499341001100303",2-s2.0-80051813494
"Graham M.","55536168100;","Geography/internet: Ethereal alternate dimensions of cyberspace or grounded augmented realities?",2013,"Geographical Journal","179","2",,"177","182",,61,"10.1111/geoj.12009",2-s2.0-84877602580
"Graham M., Foster C.","","Geographies of information inequality in sub-Saharan Africa",2016,"The African Technopolitan","5",,,"78","85",,1,,2-s2.0-85040805931
"Graham M., Zook M.","55536168100;6701534158;","Augmented realities and uneven geographies: Exploring the geolinguistic contours of the web",2013,"Environment and Planning A","45","1",,"77","99",,62,"10.1068/a44674",2-s2.0-84873268883
"Graham M., Andersen C., Mann L.","55536168100;57196906695;55660995300;","Geographical imagination and technological connectivity in East Africa",2015,"Transactions of the Institute of British Geographers","40","3",,"334","349",,8,"10.1111/tran.12076",2-s2.0-84932192906
"Graham M., Hogan B., Straumann R.K., Medhat A.","55536168100;23396742200;25655620200;56194900700;","Uneven Geographies of User-Generated Information: Patterns of Increasing Informational Poverty",2014,"Annals of the Association of American Geographers","104","4",,"746","764",,70,"10.1080/00045608.2014.910087",2-s2.0-84903447263
"Graham M., Straumann R.K., Hogan B.","55536168100;25655620200;23396742200;","Digital Divisions of Labor and Informational Magnetism: Mapping Participation in Wikipedia",2015,"Annals of the Association of American Geographers","105","6",,"1158","1178",,22,"10.1080/00045608.2015.1072791",2-s2.0-84945495903
"Graham M., Zook M., Boulton A.","55536168100;6701534158;35423277000;","Augmented reality in urban places: Contested content and the duplicity of code",2013,"Transactions of the Institute of British Geographers","38","3",,"464","479",,127,"10.1111/j.1475-5661.2012.00539.x",2-s2.0-84878995495
"Graham S.","56175142000;","The end of geography or the explosion of place? Conceptualizing space, place and information technology",1998,"Progress in Human Geography","22","2",,"165","185",,335,"10.1191/030913298671334137",2-s2.0-0031877127
"Graham S.D.N.","56175142000;","Software-sorted geographies",2005,"Progress in Human Geography","29","5",,"562","580",,244,"10.1191/0309132505ph568oa",2-s2.0-27144539144
"Graham S., Marvin S.","",[No title available],2001,"Splintering Urbanism: Networked Infrastructures, Technological Mobilities and the Urban Condition",,,,"","",,2068,,2-s2.0-0003855066
"Greenfield A.","",[No title available],2013,"Against the Smart City",,,,"","",,232,,2-s2.0-84894329432
"Hägerstrand T.","","The computer and the geographer",1967,"Transactions of the Institute of British Geographers","42","42",,"1","19",,26,,2-s2.0-21744434671
"Haggett P.","",[No title available],1965,"Locational Analysis in Human Geography",,,,"","",,938,,2-s2.0-0003465673
"Haraway D.","",[No title available],1991,"Simians, Cyborgs, and Women: The Reinvention of Nature",,,,"","",,6634,,2-s2.0-0003479615
"Harley J.B.","7201902926;","Deconstructing the map",1989,"Cartographica","26","2",,"1","20",,763,"10.3138/E635-7827-1757-9T53",2-s2.0-0024850121
"Hillis K.","",[No title available],1999,"Digital Sensations: Space, Identity, and Embodiment in Virtual Reality",,,,"","",,135,,2-s2.0-0003575683
"Hinchliffe S.J., Crang M.A., Reimer S.M., Hudson A.C.","7006066481;6603071924;7003965801;7201404050;","Software for qualitative research: 2. Some thoughts on 'aiding' analysis",1997,"Environment and Planning A","29","6",,"1109","1124",,19,"10.1068/a291109",2-s2.0-0031463779
"Hine C.","",[No title available],2000,"Virtual Ethnography",,,,"","",,1496,,2-s2.0-0004125944
"Horst H., Miller D.","",[No title available],2012,"Digital Anthropology",,,,"","",,149,,2-s2.0-84872554495
"Kinsley S.","36646080700;","Beyond the screen: Methods for investigating geographies of life 'online'",2013,"Geography Compass","7","8",,"540","555",,12,"10.1111/gec3.12062",2-s2.0-84881309051
"Kinsley S.","36646080700;","The matter of 'virtual' geographies",2014,"Progress in Human Geography","38","3",,"364","384",,78,"10.1177/0309132513506270",2-s2.0-84904876508
"Kitchin R.","","The data revolution: Big data, open data, data infrastructures and their consequences",2014,"The Data Revolution: Big Data, Open Data, Data Infrastructures and Their Consequences",,,,"","",,559,,2-s2.0-84908018085
"Kitchin R.","26642984800;","The real-time city? Big data and smart urbanism",2014,"GeoJournal","79","1",,"1","14",,669,"10.1007/s10708-013-9516-8",2-s2.0-84894317469
"Kitchin R., Dodge M.","","Code/space: Software and everyday life",2011,"Code/Space: Software and Everyday Life",,,,"","",,529,,2-s2.0-83155160690
"Kitchin R., Linehan D., O'Callaghan C., Lawton P.","26642984800;7004185603;35107584300;55206036800;","Public geographies through social media",2013,"Dialogues in Human Geography","3","1",,"56","72",,27,"10.1177/2043820613486432",2-s2.0-84975094240
"Kleine D.","","Technologies of choice?: ICTs, development, and the capabilities approach",2013,"Technologies of Choice? ICTs, Development, and the Capabilities Approach",,,,"","",,99,,2-s2.0-84892926431
"Köbben B.","23019066400;","Wireless Campus LBS: A test bed for WiFi positioning and location based services",2007,"Cartography and Geographic Information Science","34","4",,"285","292",,6,"10.1559/152304007782382936",2-s2.0-36548998880
"Kwan M.-P.","7005364475;","Feminist visualization: Re-envisioning GIS as a method in feminist geographic research",2002,"Annals of the Association of American Geographers","92","4",,"645","661",,336,"10.1111/1467-8306.00309",2-s2.0-0041642920
"Kwan M.-P.","7005364475;","Algorithmic geographies: Big data, algorithmic uncertainty, and the production of geographic knowledge",2016,"Annals of the American Association of Geographers","106","2",,"274","282",,59,"10.1080/00045608.2015.1117937",2-s2.0-84971419907
"Larsen J., Axhausen K.W., Urry J.","15755807400;7003940899;6701563132;","Geographies of social networks: Meetings, travel and communications",2006,"Mobilities","1","2",,"261","283",,150,"10.1080/17450100600726654",2-s2.0-85009580710
"Lazer D., Pentland A., Adamic L., Aral S., Barabási A.-L., Brewer D., Christakis N., Contractor N., Fowler J., Gutmann M., Jebara T., King G., Macy M., Roy D., Van Alstyne M.","6603287654;7102755925;6506967497;26027709600;7006567633;7102103512;7005400323;6604054547;57203297446;7006040470;6602498082;35515028500;57207509956;7402439504;8960223000;","Social science: Computational social science",2009,"Science","323","5915",,"721","723",,1501,"10.1126/science.1167742",2-s2.0-59849122652
"Lepawsky J.","9637533700;","The changing geography of global trade in electronic discards: Time to rethink the e-waste problem",2015,"Geographical Journal","181","2",,"147","159",,49,"10.1111/geoj.12077",2-s2.0-84929505142
"Leszczynski A.","15021016400;","Situating the geoweb in political economy",2012,"Progress in Human Geography","36","1",,"72","89",,87,"10.1177/0309132511411231",2-s2.0-84856103283
"Leszczynski A.","15021016400;","On the Neo in Neogeography",2014,"Annals of the Association of American Geographers","104","1",,"60","79",,33,"10.1080/00045608.2013.846159",2-s2.0-84890555363
